window size,pca components,silhouette score
100,2,0.47864891213496225
100,3,0.37244070390486217
100,4,0.33949033280613833
100,5,0.3033583133817624
100,6,0.2816955463986443
100,7,0.26515365095476323
200,2,0.49599971247748703
200,3,0.3820901665702136
200,4,0.3484209506174374
200,5,0.3172016654628596
200,6,0.3028849675630644
200,7,0.2873413806878198
300,2,0.5292447294990617
300,3,0.4112419485287527
300,4,0.3784300367999479
300,5,0.3433717993029859
300,6,0.3174043232253343
300,7,0.3045026616225904
400,2,0.5335097389615965
400,3,0.4119180284025324
400,4,0.3814702573509071
400,5,0.36323482735103474
400,6,0.3473152230127277
400,7,0.32835313705678837
500,2,0.5257601412427241
500,3,0.3874281880106402
500,4,0.38247506133347653
500,5,0.3515565046333588
500,6,0.31564248590735033
500,7,0.30112679185748925
600,2,0.5371996490178037
600,3,0.4150206987033431
600,4,0.39146645680763853
600,5,0.35660748507797024
600,6,0.3339435227532521
600,7,0.3161027457527008
700,2,0.5633465449270442
700,3,0.4104856423738691
700,4,0.3734874725972445
700,5,0.3376784101621922
700,6,0.3217533033451394
700,7,0.30378557880184365
800,2,0.5822951730514662
800,3,0.44085543133683264
800,4,0.39388779456872997
800,5,0.3803074177264566
800,6,0.34624024681457755
800,7,0.3157205856302577
900,2,0.5995327634925727
900,3,0.44977685149087265
900,4,0.4110291851543513
900,5,0.35561600129088095
900,6,0.3323153192826495
900,7,0.3216371379895126
