x accelerometer,y accelerometer,z accelerometer,x gyro,y gyro,z gyro,surface
-0.072754,-0.02417,-1.005615,0.595093,0.823975,0.595093,concrete
-0.065186,-0.037354,-1.033447,1.403808,0.747681,0.350952,concrete
-0.029785,-0.037354,-1.01416,1.296997,0.152588,0.534058,concrete
-0.001221,-0.033203,-1.005859,0.961304,0.015259,0.701904,concrete
0.037842,-0.018066,-1.007813,1.266479,0.564575,0.701904,concrete
0.000977,-0.034668,-0.961914,0.579834,0.930786,0.991821,concrete
-0.035645,-0.060059,-1.067871,1.205444,0.488281,1.251221,concrete
0.00293,0.000977,-1.006836,0.946045,0.152588,0.808716,concrete
-0.016846,-0.05835,-0.972168,0.930786,-0.167847,0.411987,concrete
0.020752,-0.038818,-0.984619,1.174927,-0.442505,0.076294,concrete
-0.013428,-0.000244,-1.024658,1.113892,0.076294,-0.076294,concrete
-0.019287,-0.063965,-1.044922,1.098633,0.061035,-0.045776,concrete
0.060547,-0.032959,-1.108887,1.205444,0.747681,-0.579834,concrete
-0.011719,0.026123,-1.015381,-0.213623,2.39563,-0.549316,concrete
-0.081787,-0.079346,-0.904053,-0.396728,1.876831,-0.167847,concrete
-0.072754,-0.045654,-0.994385,0.854492,1.068115,-0.564575,concrete
-0.036377,-0.00415,-0.991455,0.946045,0.198364,-0.991821,concrete
0.031982,-0.050293,-0.921875,1.419067,-0.198364,-1.190186,concrete
-0.008545,-0.037842,-1.019531,2.304077,-0.717163,-1.022339,concrete
-0.050049,-0.011475,-1.058594,1.846313,-2.166748,-1.022339,concrete
0.176758,-0.021973,-1.118408,1.89209,-2.029419,-1.708984,concrete
0.023193,0.024414,-0.943848,0.686645,-0.350952,-1.00708,concrete
-0.031006,-0.038818,-0.987061,0.717163,-0.457764,-0.488281,concrete
-0.006836,-0.053223,-0.981201,1.098633,0.12207,-1.312256,concrete
-0.078613,-0.034912,-1.01416,1.739502,1.022339,-1.022339,concrete
-0.095215,-0.048584,-1.056885,1.983642,0.976562,-0.991821,concrete
-0.068604,0.015137,-1.032227,0.88501,0.320435,-1.739502,concrete
-0.025146,-0.067383,-0.986328,0.671387,0.335693,-2.563476,concrete
-0.012207,0.001465,-1.018799,1.266479,0.549316,-2.39563,concrete
0.009033,-0.008301,-1.02832,0.595093,1.00708,-2.63977,concrete
-0.090576,-0.089355,-1.05127,0.427246,0.457764,-2.13623,concrete
-0.031738,-0.259766,-0.899658,2.746582,0.061035,-0.427246,concrete
-0.103516,-0.084229,-1.094482,4.852295,-0.671387,3.616333,concrete
0.103516,-0.047363,-1.070313,4.333496,-1.205444,4.516602,concrete
-0.030273,-0.164307,-1.023926,4.425049,-0.610352,3.585815,concrete
-0.041016,-0.041992,-0.978027,4.714966,-0.976562,2.487183,concrete
-0.079834,-0.008545,-0.960205,4.623413,-0.50354,2.13623,concrete
-0.043213,-0.040039,-0.94751,3.753662,-0.228882,0.656128,concrete
-0.029053,-0.018555,-0.960938,3.555298,1.022339,-1.358032,concrete
-0.114746,-0.017334,-1.079102,2.746582,1.678467,-2.655029,concrete
-0.100586,-0.043945,-1.056885,1.159668,0.656128,-3.52478,concrete
-0.057861,-0.031494,-0.998779,0.930786,0.411987,-3.448486,concrete
-0.02124,-0.064453,-0.942139,-0.213623,0.350952,-1.754761,concrete
0.013672,-0.072754,-0.993896,-0.717163,0.549316,0.213623,concrete
-0.009033,-0.080566,-1.02417,-0.473022,0.579834,2.593994,concrete
0.032227,-0.019287,-1.02124,-0.076294,0.0,3.082275,concrete
0.019531,-0.049072,-0.979736,-0.50354,0.091553,3.631592,concrete
0.001953,-0.057617,-1.03833,-0.640869,0.076294,4.745483,concrete
-0.027588,-0.069092,-1.003174,-0.427246,0.228882,4.364014,concrete
-0.04541,-0.112549,-1.000732,-0.015259,-0.152588,3.356933,concrete
-0.027344,-0.069092,-1.031738,0.534058,-0.427246,2.349854,concrete
-0.061035,0.026611,-1.002197,-0.50354,0.045776,2.075195,concrete
-0.061035,-0.053711,-1.021729,-1.495361,0.244141,1.464844,concrete
-0.035889,-0.088379,-0.993408,-0.38147,0.045776,0.244141,concrete
-0.005859,-0.061035,-1.001465,0.778198,0.198364,0.946045,concrete
-0.049072,-0.009766,-1.021973,0.793457,0.396728,2.166748,concrete
0.003418,-0.00293,-1.015625,0.640869,0.411987,2.5177,concrete
-0.000977,0.022217,-1.009521,0.717163,0.244141,2.471924,concrete
0.048584,0.102051,-0.999268,-0.427246,0.38147,2.304077,concrete
0.01416,0.005615,-1.074707,-1.602173,0.579834,2.563476,concrete
-0.037598,-0.050781,-0.954102,-0.564575,0.686645,1.174927,concrete
0.05957,0.019531,-0.954346,0.259399,0.015259,-0.244141,concrete
-0.036133,0.010498,-1.068115,0.747681,0.869751,0.930786,concrete
-0.030762,0.055664,-1.062256,-1.220703,0.793457,1.266479,concrete
-0.046875,-0.043213,-0.97876,-1.38855,0.976562,-0.427246,concrete
0.045654,-0.0354,-0.990479,-1.419067,-0.030518,-2.120972,concrete
0.002686,-0.115479,-1.036377,0.244141,0.717163,-0.595093,concrete
-0.140137,0.031982,-0.920166,0.335693,0.854492,0.732422,concrete
0.007324,0.042969,-1.004395,-0.289917,0.411987,-0.579834,concrete
-0.030762,-0.009521,-1.086182,-0.747681,0.534058,-1.434326,concrete
0.056641,-0.045166,-0.978516,-1.678467,-0.015259,-0.823975,concrete
-0.035889,-0.097168,-0.925781,0.045776,1.251221,0.930786,concrete
-0.05249,-0.029541,-0.99292,1.693725,0.473022,-0.198364,concrete
0.070801,-0.042725,-1.045654,1.983642,-0.549316,-0.900268,concrete
-0.035645,0.000488,-1.077881,0.305176,0.457764,-0.244141,concrete
0.057617,-0.050049,-0.993408,-1.770019,1.052856,0.991821,concrete
-0.0354,-0.018066,-0.928955,-1.190186,2.075195,0.473022,concrete
-0.039795,-0.148926,-1.010498,0.991821,0.976562,-2.029419,concrete
0.063965,-0.094482,-0.960693,2.624511,-0.106812,-1.739502,concrete
0.020752,0.063477,-1.076172,2.777099,1.358032,-1.647949,concrete
-0.089355,-0.065674,-1.139648,0.213623,1.327515,-2.822876,concrete
0.010986,0.046631,-0.963623,-1.724243,-0.595093,-3.601074,concrete
0.053955,-0.044189,-0.960938,-1.693725,-0.274658,-2.990722,concrete
0.033691,-0.092041,-1.092041,-0.900268,0.12207,-1.785278,concrete
-0.059082,-0.031494,-0.962402,0.747681,-0.366211,-2.563476,concrete
0.0271,-0.034912,-0.97168,-1.342773,-2.075195,-3.311157,concrete
0.098389,-0.058594,-0.946045,-0.701904,-0.198364,-2.212524,concrete
-0.03125,-0.046143,-0.937744,0.62561,2.471924,-1.220703,concrete
-0.108887,-0.199951,-1.192627,2.212524,2.197266,-0.961304,concrete
-0.02832,0.083984,-0.973633,4.837036,2.197266,-2.532959,concrete
-0.024414,-0.001709,-1.057373,-2.01416,2.456665,-3.494262,concrete
-0.109619,0.022705,-0.880859,-3.585815,0.976562,-3.570556,concrete
-0.003174,-0.117188,-0.925781,-0.686645,-1.495361,-5.172729,concrete
0.118164,-0.058105,-1.018311,1.037598,-2.319336,-6.393432,concrete
0.183105,0.001465,-1.050049,2.075195,-0.244141,-4.959106,concrete
-0.01001,-0.204102,-1.083008,2.944946,1.00708,-2.853393,concrete
-0.071533,0.075684,-0.91333,1.770019,0.793457,-2.39563,concrete
-0.082275,-0.006836,-1.062988,0.808716,-0.12207,-3.479004,concrete
-0.070801,-0.004395,-1.018799,-1.373291,0.045776,-4.196167,concrete
-0.022705,-0.103027,-0.974854,0.411987,-0.061035,-3.677368,concrete
-0.049072,-0.065674,-1.022705,0.915527,0.244141,-2.5177,concrete
-0.035156,0.012939,-0.945557,2.990722,-0.213623,-2.761841,concrete
0.005615,-0.008789,-1.259521,1.037598,-0.213623,-3.707886,concrete
-0.026123,-0.089111,-1.001221,-2.929687,-0.915527,-4.623413,concrete
0.049561,0.081299,-0.765869,-0.244141,-0.961304,-4.928589,concrete
0.040039,-0.06958,-1.020752,0.38147,0.823975,-5.615234,concrete
-0.041992,-0.098145,-1.087646,1.037598,0.869751,-5.081176,concrete
-0.116211,0.03418,-0.954102,-0.015259,0.335693,-3.479004,concrete
-0.042725,-0.036621,-1.125,0.137329,-0.030518,-3.753662,concrete
0.051514,-0.049805,-1.056641,1.770019,0.366211,-3.295898,concrete
-0.010254,0.054199,-0.94751,-2.197266,1.495361,-2.944946,concrete
-0.098633,-0.046387,-0.914551,-3.097534,0.610352,-2.655029,concrete
-0.031494,-0.069092,-0.950439,0.305176,-0.854492,-4.348755,concrete
-0.015381,-0.155273,-0.97583,4.180908,-1.312256,-2.89917,concrete
0.075439,0.036377,-1.104736,5.111694,0.518799,-1.831055,concrete
-0.062988,0.001221,-1.09375,2.334595,1.495361,-0.045776,concrete
-0.147949,0.036133,-1.040283,-0.457764,0.152588,0.12207,concrete
-0.006836,0.033447,-0.952637,-1.800537,-0.869751,-2.990722,concrete
0.052734,0.088379,-0.988037,-1.724243,-0.762939,-5.355834,concrete
-0.003174,-0.217041,-1.116943,-1.754761,0.473022,-4.547119,concrete
-0.193604,-0.060547,-0.831787,1.098633,0.518799,-2.120972,concrete
0.028564,0.095947,-0.891602,3.479004,-0.167847,-2.929687,concrete
0.118896,-0.060303,-1.132813,2.89917,1.373291,-3.601074,concrete
-0.191162,-0.036865,-1.188477,0.152588,1.342773,-1.89209,concrete
-0.058838,-0.012939,-0.957031,-2.304077,-1.098633,-0.183105,concrete
0.112061,-0.039307,-0.829346,1.037598,-0.839233,-1.495361,concrete
0.037842,0.022217,-1.019775,2.456665,-0.50354,-2.471924,concrete
0.01709,-0.001709,-1.139893,2.426147,0.350952,-1.083374,concrete
-0.09375,0.135742,-1.098145,-1.998901,2.075195,-0.488281,concrete
-0.094238,0.02002,-0.943848,-6.179809,-0.030518,-2.578735,concrete
-0.052979,0.101563,-0.906738,-5.233764,-0.808716,-5.966186,concrete
0.046631,-0.095947,-1.060059,-4.730225,-0.457764,-6.988525,concrete
-0.085693,-0.009033,-1.05835,-3.707886,0.946045,-3.219604,concrete
0.013428,-0.055908,-0.996094,-2.716064,1.525879,0.610352,concrete
-0.050781,-0.105713,-0.949219,-5.294799,0.38147,2.166748,concrete
-0.103271,-0.05957,-1.057129,-6.118774,-2.365112,0.656128,concrete
0.093506,-0.16626,-1.134277,0.62561,-2.792358,-0.961304,concrete
0.230957,-0.057861,-1.033691,-0.473022,-2.609253,-1.373291,concrete
0.009766,-0.053711,-0.845215,-1.38855,-0.88501,1.541138,concrete
-0.132813,-0.005615,-0.892334,1.113892,-0.259399,2.120972,concrete
0.035889,-0.135254,-1.125977,-0.091553,-0.061035,0.396728,concrete
-0.038574,-0.021973,-0.959717,0.076294,-0.12207,-0.152588,concrete
-0.049316,-0.082031,-1.023438,0.473022,-0.137329,-0.762939,concrete
0.028076,-0.072266,-1.020996,0.88501,0.137329,-2.563476,concrete
-0.016113,-0.113525,-0.97583,0.778198,0.686645,-3.204345,concrete
-0.128662,0.007324,-0.958496,1.953125,0.518799,-3.479004,concrete
-0.046143,-0.001953,-1.128418,1.312256,-0.930786,-5.615234,concrete
0.020508,-0.042969,-0.918945,0.839233,-0.991821,-4.989624,concrete
-0.019531,-0.111572,-0.953857,1.327515,1.205444,-2.120972,concrete
-0.142334,-0.024902,-1.09668,-0.045776,2.578735,-0.289917,concrete
-0.085205,-0.064697,-1.061523,0.854492,1.068115,-0.50354,concrete
0.0,-0.026123,-0.921631,1.480102,-0.823975,-0.62561,concrete
-0.005615,-0.003174,-1.003418,1.907349,-0.839233,-0.991821,concrete
0.034912,0.006104,-1.074707,1.968384,0.930786,-0.686645,concrete
-0.094971,-0.041992,-1.036377,-0.198364,1.205444,0.213623,concrete
-0.246582,-0.166504,-1.284912,-1.739502,-2.120972,0.076294,concrete
-0.086914,0.053711,-1.027344,-2.227783,-6.42395,1.525879,concrete
0.084229,-0.174561,-0.982422,-7.263183,-5.569458,0.289917,concrete
0.202148,-0.083496,-0.671875,-3.997802,-3.097534,1.327515,concrete
-0.030762,-0.099854,-0.812012,0.915527,-0.671387,2.426147,concrete
-0.197998,-0.129883,-0.936523,2.609253,-0.701904,2.319336,concrete
-0.080322,-0.118896,-1.115234,4.501343,-1.113892,1.251221,concrete
-0.090088,-0.058594,-1.104004,4.53186,1.327515,1.617432,concrete
-0.07251,-0.015625,-1.112793,-0.061035,2.792358,2.548218,concrete
-0.175293,-0.096924,-1.003662,-2.151489,2.380371,3.52478,concrete
-0.04834,-0.083008,-0.907227,-1.373291,1.052856,3.158569,concrete
0.070068,-0.147461,-1.107666,0.427246,-0.335693,1.800537,concrete
0.236328,0.032715,-0.85376,2.624511,0.869751,1.144409,concrete
