x accelerometer,y accelerometer,z accelerometer,x gyro,y gyro,z gyro,surface
0.092773,-0.054932,-0.98291,1.89209,-0.854492,-0.213623,tile
-0.007324,-0.062012,-1.098145,-0.061035,1.083374,-0.244141,tile
-0.054932,-0.028564,-0.941406,0.152588,0.045776,-0.076294,tile
0.028809,-0.003174,-0.937012,1.63269,-0.900268,-0.946045,tile
0.077637,-0.110596,-1.071045,1.983642,1.373291,-0.869751,tile
-0.051514,0.109619,-1.163086,1.449585,0.900268,-0.671387,tile
-0.0979,-0.172852,-0.932861,-1.434326,-1.358032,-1.89209,tile
0.098389,-0.074463,-0.759521,0.137329,-1.312256,-1.190186,tile
-0.03833,-0.101318,-1.24292,1.419067,0.38147,-1.266479,tile
0.174072,0.061768,-0.93335,1.693725,-1.159668,-0.900268,tile
0.05249,-0.088135,-0.898682,1.38855,3.051758,-1.602173,tile
-0.24292,-0.075684,-1.046387,0.808716,1.586914,0.015259,tile
-0.047607,-0.013184,-1.0271,2.365112,-1.098633,-1.174927,tile
0.072266,-0.112793,-1.076172,1.800537,-0.564575,-2.151489,tile
0.06958,0.059814,-0.953369,-0.473022,0.366211,-1.12915,tile
-0.048096,-0.077881,-1.09082,-0.137329,0.717163,-1.861572,tile
0.052734,-0.014893,-0.890869,2.380371,0.549316,-1.312256,tile
-0.078125,-0.086426,-1.046875,1.586914,1.968384,-2.166748,tile
-0.050293,0.029785,-1.011963,0.274658,-0.015259,-1.00708,tile
0.026123,-0.109863,-0.979492,1.022339,0.534058,-1.098633,tile
0.001709,0.030518,-1.074463,1.464844,0.152588,-1.281738,tile
0.030029,-0.090088,-0.979736,0.534058,-0.656128,-2.27356,tile
0.057373,-0.043457,-1.012695,0.762939,0.488281,-1.159668,tile
-0.108398,-0.003418,-1.074463,0.778198,0.640869,-1.068115,tile
0.03833,-0.053467,-0.969971,0.274658,0.030518,-1.678467,tile
-0.028076,-0.047363,-0.987793,1.098633,0.610352,-0.640869,tile
-0.067627,0.005371,-1.069824,0.183105,0.152588,-0.244141,tile
0.053467,-0.077148,-0.97998,-0.244141,-0.869751,-0.961304,tile
0.056396,-0.097656,-0.985352,1.052856,0.213623,-0.610352,tile
-0.096191,-0.064209,-1.093506,0.656128,-0.595093,-0.88501,tile
0.02417,-0.000732,-0.945801,-0.518799,-1.770019,-1.937866,tile
0.037598,-0.104736,-0.972412,0.0,-0.839233,-1.296997,tile
-0.026611,-0.023193,-1.103271,0.686645,0.534058,-0.747681,tile
